observer,condition,trial,time_taken,acc,time_taken_s
3,conjunction,5,32.038844,0.5128205128205128,0.2806745441858803
3,conjunction,6,28.088273,0.5641025641025641,-0.37378698977778335
3,conjunction,7,41.071981,0.6153846153846154,1.515911023233498
3,conjunction,8,31.264752,0.4358974358974359,0.15904071927432153
3,conjunction,9,28.03141,0.5897435897435898,-0.38386519565159966
3,conjunction,10,34.479976,0.5384615384615384,0.6458573521833679
3,conjunction,11,32.900238,0.46153846153846156,0.412618557094581
3,conjunction,12,29.134616,0.717948717948718,-0.19189179732664194
3,conjunction,13,29.080496,0.48717948717948717,-0.2011385809113111
3,conjunction,14,27.530463,0.7692307692307693,-0.4735451107538606
3,conjunction,15,27.862373,0.5128205128205128,-0.41394590778803014
3,conjunction,16,32.337467,0.5384615384615384,0.32681361035764966
3,conjunction,17,34.314846,0.46153846153846156,0.6219825610257835
3,conjunction,18,28.497166,0.6410256410256411,-0.3019114592778424
3,conjunction,19,33.594569,0.5641025641025641,0.5164820989628329
3,conjunction,20,27.133958,0.5641025641025641,-0.5456924052811085
4,feature,1,26.300178,0.6666666666666666,-0.7009083922639682
4,feature,2,22.646539,0.6923076923076923,-1.4447477524106154
4,feature,3,24.699787,0.8717948717948718,-1.013133161706334
4,feature,4,25.655534,0.5641025641025641,-0.8243260924746739
4,feature,5,23.203818,0.5897435897435898,-1.3238495451504873
4,feature,6,23.511874,0.6410256410256411,-1.2582589308630716
4,feature,7,25.599051,0.6153846153846154,-0.8352871820652622
4,feature,8,22.501889,0.5897435897435898,-1.4766150919858865
4,feature,9,26.768468,0.6410256410256411,-0.6131362563090383
4,feature,10,26.192483,0.6410256410256411,-0.7213147773850891
4,feature,11,24.63378,0.5897435897435898,-1.0264412677779793
4,feature,12,24.244414,0.717948717948718,-1.1056769094302716
4,feature,13,26.714184,0.6410256410256411,-0.6232317502966911
4,feature,14,24.050318999999998,0.6410256410256411,-1.1456516297927442
4,feature,15,23.320682,0.6153846153846154,-1.2988651716454165
4,feature,16,24.639804,0.717948717948718,-1.0252252516628666
4,feature,17,22.738494,0.717948717948718,-1.4245951189897657
